Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Balwinder Singh Famous Ho Gaya,2014,136,Comedy,3.6,50,Sunil Agnihotri,Asrani,Gabriela Bertante,Mikhill Chandiramani
Bang Bang,2014,153,"Action, Adventure, Comedy",5.6,22436,Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra
Bazaar E Husn,2014,125,Drama,4.8,15,Ajay Mehra,Ahmed Faisal Inam,Om Puri,Jeet Goswami
Bewakoofiyaan,2014,119,"Comedy, Drama, Romance",5.5,3938,Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor
Bhoothnath Returns,2014,155,"Comedy, Drama, Fantasy",6.6,5030,Nitesh Tiwari,Amitabh Bachchan,Boman Irani,Parth Bhalerao
Bhopal: A Prayer for Rain,2014,96,Drama,7.2,1968,Ravi Kumar,Martin Sheen,Mischa Barton,Kal Penn
Bobby Jasoos,2014,121,"Comedy, Drama, Thriller",5.5,2189,Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A
Bollywood Villa,2014,124,Thriller,4.8,12,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia
Bulbule,2014,119,Comedy,7.8,25,Jagat Joon,Md. Faiz Alam,Amaresh Banerjee,Anubhav Dixit
Chaarfutiya Chhokare,2014,119,"Drama, Thriller",5.9,38,Manish Harishankar,Soha Ali Khan,Zakir Hussain,Seema Biswas
Chal Bhaag,2014,111,Comedy,3.8,101,Prakash Saini,Deepak Dobriyal,Taran Bajaj,Keeya Khanna
Chauranga,2014,88,Drama,6.5,299,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen
Children of War,2014,160,"Drama, History, War",6.7,879,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra
City Lights,2014,126,"Drama, Thriller",7.4,4828,Hansal Mehta,Rajkummar Rao,Patralekhaa Paul,Manav Kaul
Court,2014,116,Drama,7.7,4338,Chaitanya Tamhane,Vira Sathidar,Vivek Gomber,Geetanjali Kulkarni
Creature,2014,134,"Action, Horror, Sci-Fi",3.1,1308,Vikram Bhatt,Bipasha Basu,Imran Abbas,Mukul Dev
Daawat-e-Ishq,2014,118,"Comedy, Drama, Romance",6.1,5500,Habib Faisal,Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher
Darr @ the Mall,2014,124,"Horror, Thriller",4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha,Arif Zakaria
Dear Vs Bear,2014,145,"Adventure, Thriller",6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
Dedh Ishqiya,2014,152,"Comedy, Drama, Romance",7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
Dekh Tamasha Dekh,2014,110,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain
Desi Kattey,2014,139,Action,4,126,Kumar Anand,Akhil Kapur,Tia Bajpai,Jay Bhanushali
Dil Ka Sauda,2014,136,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor
Dishkiyaoon,2014,119,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
DOA: Death of Amar,2014,90,Thriller,7.1,29,Param Gill,Steven a Dsouza,Zareen Khan,Rajeev Khandelwal
Dr. Cabbie,2014,101,Comedy,6,2860,Jean-Fran�ois Pouliot,Vinay Virmani,Adrianne Palicki,Kunal Nayyar
Dreadlocks Story,2014,83,"Documentary, History",8.1,8,Linda A�nouche,Atma,David Hinds,Bill 'Blade' Howell
Ebn-e-Batuta,2014,125,Sci-Fi,4.3,27,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar
Ekkees Toppon Ki Salaami,2014,140,Comedy,6,502,Ravindra Gautam,Anupam Kher,Neha Dhupia,Divyendu Sharma
Finding Fanny,2014,102,"Adventure, Comedy, Drama",5.7,6225,Homi Adajania,Deepika Padukone,Arjun Kapoor,Naseeruddin Shah
Flame: An Untold Love Story,2014,97,Drama,6,11,Rajiv S. Ruia,Sumana Mukherjee,Hrishitaa Bhatt,Kamna Singh Chandel
Fugly,2014,134,"Drama, Thriller",4.7,1008,Kabir Sadanand,Jimmy Sheirgill,Mohit Marwah,Kiara Advani
Gang of Ghosts,2014,128,"Comedy, Horror",3.6,376,Satish Kaushik,Sharman Joshi,Mahie Gill,Asrani
Gauraiya,2014,125,Crime,7,64,Rajesh Hans,Karamaveer Chaudhary,Karamveer Choudhary,Vijay Jora
Gulaab Gang,2014,139,"Action, Drama",6.1,2078,Soumik Sen,Madhuri Dixit,Juhi Chawla,Divya Jagdale
Gunday,2014,152,"Action, Drama, Musical",2.4,58144,Ali Abbas Zafar,Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas
Haggada Kone: End of the Rope,2014,102,Drama,8.4,52,Dayal Padmanabhan,Naveen Krishna,Suchendra Prasad,Mohan
Haider,2014,160,"Action, Crime, Drama",8.1,51354,Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor
Happy Ending,2014,135,"Comedy, Romance",5.4,3453,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Ileana D'Cruz
Happy New Year,2014,180,"Action, Comedy, Crime",5,34890,Farah Khan,Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan
Hasee Toh Phasee,2014,141,"Comedy, Romance",6.8,13936,Vinil Mathew,Sidharth Malhotra,Parineeti Chopra,Adah Sharma
Hate Story 2,2014,130,"Drama, Thriller",4.4,2087,Vishal Pandya,Jay Bhanushali,Surveen Chawla,Sushant Singh
Hawaa Hawaai,2014,120,"Drama, Family, Sport",7.4,1686,Amole Gupte,Makrand Deshpande,Partho A. Gupte,Devraya Gole
Heartless,2014,131,"Drama, Family, Romance",5.1,458,Shekhar Suman,Adhyayan Suman,Ariana Ayam,Deepti Naval
Heropanti,2014,146,"Action, Romance",5.3,8372,Sabir Khan,Tiger Shroff,Kriti Sanon,Parthaa Akerkar
Highway,2014,133,"Crime, Drama, Romance",7.6,27168,Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar
Holiday: A Soldier is Never Off Duty,2014,160,"Action, Thriller",7.2,26163,A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala
Hum Hai Teen Khurafaati,2014,126,Comedy,6.2,10,Sudhish Kumar Sharma,Muntazir Ahmad,Manoj Bakshi,Sheet Chhabra
Humpty Sharma Ki Dulhania,2014,133,"Comedy, Drama, Romance",6,11840,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana
Humshakals,2014,159,"Comedy, Drama, Romance",1.8,7840,Sajid Khan,Saif Ali Khan,Riteish Deshmukh,Ram Kapoor
Identity Card,2014,92,"Comedy, Drama, Sci-Fi",5.9,63,Rahat Kazmi,Tia Bajpai,Furqan Merchant,Raghuvir Yadav
It's Entertainment,2014,140,"Action, Comedy, Drama",4.5,7875,Sajid,Farhad Samji,Akshay Kumar,Tamannaah Bhatia
Jai Ho,2014,135,"Action, Drama",5.1,18411,Sohail Khan,Salman Khan,Daisy Shah,Tabu
Jigariyaa,2014,142,Drama,4.9,301,Raj Purohit,Harshvardhan Deo,Cherry Mardia,Deepak Chaddha
Kaanchi,2014,151,"Drama, Musical, Romance",4.2,590,Subhash Ghai,Mishti,Kartik Aaryan,Rishi Kapoor
Kahin Hai Mera Pyar,2014,138,"Drama, Musical, Romance",5.7,18,Mahesh Vaijnath Doijode,Manas Das,Eesha Agarwal,Gajendra Chauhan
Karar: The Deal,2014,115,Thriller,4.2,64,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
Karle Pyaar Karle,2014,110,"Action, Romance",2.7,128,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
Kartooz,2014,97,"Action, Adventure",3,7,Panna Hossain,Faruque Azam,Anindita Chatterjee,Sumita Chatterjee
Khoobsurat,2014,130,"Comedy, Romance",6.4,7877,Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah
Khwaabb,2014,90,"Drama, Romance, Sport",5.5,68,Zaid Ali Khan,Simer Motiani,Navdip Singh,Bajrangbali Singh
Kick,2014,146,"Action, Comedy, Crime",5.3,26761,Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui
Kill Dil,2014,127,"Action, Comedy, Drama",4.3,3927,Shaad Ali,Ranveer Singh,Ali Zafar,Parineeti Chopra
Koyelaanchal,2014,145,"Action, Drama",5.4,258,Ashu Trikha,Kannan Arunachalam,Biswanath Basu,Vinod Khanna
Kuku Mathur Ki Jhand Ho Gayi,2014,109,"Comedy, Romance",5.3,243,Aman Sachdeva,Siddharth Gupta,Simran Kaur Mundi,Siddharth Bhardwaj
Kya Dilli Kya Lahore,2014,98,"Drama, History, War",7.4,1844,Vijay Raaz,Karan Arora,Vijay Raaz,Manu Rishi Chadha
Ladies First,2014,106,Romance,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi
Lajwanti,2014,63,"Drama, Romance",6.9,17,Pushpendra Singh,Sanghmitra Hitaishi,Pushpendra Singh,Sugna Devi
Lakshmi,2014,115,Drama,7.9,1520,Nagesh Kukunoor,Monali Thakur,Vibha Chhibber,Ranjeet Jha
Lekar Hum Deewana Dil,2014,140,"Comedy, Romance",4.9,679,Arif Ali,Armaan Jain,Deeksha Seth,Varun Badola
Life Is Beautiful,2014,116,"Comedy, Romance",5.4,45,Manoj Amarnani,Manoj Amarnani,Nancy Brunetta,Anokhi Dalvi
Lingaa,2014,174,"Action, Comedy, Drama",5.6,5137,K.S. Ravikumar,Rajinikanth,Anushka Shetty,Sonakshi Sinha
Little Terrors,2014,103,Drama,5.8,102,Maninder Chana,Om Puri,Deep Dhillon,Aamrik Arjun
Long Dark Road,2014,68,"Crime, Drama, Thriller",7.7,45,Moosa Saleem,Atif Rashid,Saurabh Kumar,Anamika Raj
Lucky Kabootar,2014,117,Comedy,5.1,75,Shammi Chhabra,Arvinder Bhatti,Shraddha Das,Rimple Dhindsa
M Cream,2014,112,"Adventure, Comedy, Drama",5.6,611,Agneya Singh,Aban Raza,Tom Alter,Raaghavv Chanana
M.... Matric Pass,2014,118,"Drama, Romance",3.9,14,Suresh Jain,Seema Dogra,Paras Sharma,Sushma Sharma
M.A.D: Mad About Dance,2014,125,"Drama, Musical",5.1,110,Saahil Prem,Saahil Prem,Amy Maghera,Salah Benlemqawanssa
Machhli Jal Ki Rani Hai,2014,120,Horror,2.3,235,Debaloy Dey,Swara Bhaskar,Reema Debnath,Saurabh Dubey
Main Aur Mr. Riight,2014,130,"Comedy, Romance",5.2,347,Adeeb Rais,Barun Sobti,Shenaz Treasury,Kavi Shastri
Main Tera Hero,2014,128,"Action, Comedy, Romance",5.1,8139,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri
Manjunath,2014,130,"Biography, Drama",7.2,478,Sandeep A. Varma,Anjori Alagh,Karan Ashar,Aarun D. Baliean
Mardaani,2014,113,"Action, Crime, Drama",7.3,11913,Pradeep Sarkar,Rani Mukerji,Tahir Raj Bhasin,Priyanka Sharma
Margarita with a Straw,2014,100,Drama,7.2,3565,Shonali Bose,Nilesh Maniyar,Kalki Koechlin,Revathi
Mary Kom,2014,122,"Action, Biography, Drama",6.8,10089,Omung Kumar,Priyanka Chopra Jonas,Sunil Thapa,Robin Das
Masala Republic,2014,135,"Comedy, Thriller",5.2,105,Visakh G S,Indrajith Sukumaran,Soubin Shahir,Vinay Forrt
Mohan Rakesh's Adhe Adhure,2014,100,Drama,7.1,32,Rohit Philip,Mohan Agashe,Lillete Dubey,Ira Dubey
Mr Joe B. Carvalho,2014,130,"Action, Comedy, Mystery",3.6,526,Samir Tewari,Arshad Warsi,Soha Ali Khan,Javed Jaffrey
Mumbai 125 KM 3D,2014,100,"Drama, Horror, Mystery",2.7,192,Hemant Madhukar,Karanvir Bohra,Vedita Pratap Singh,Veena Malik
Mumbai Delhi Mumbai,2014,120,"Comedy, Romance",5.7,339,Satish Rajwade,Shiv Panditt,Piaa Bajpai,Naisha Arora
Munna Mange Memsaab,2014,128,Comedy,3.2,13,Shareeph Mansuri Saranawala,Ms. Jordiya Anna,Razak Khan,Omkar Das Manikpuri
Nanak Shah Fakir,2014,146,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain
Neighbours,2014,125,Horror,3.2,42,Shyam Ramsay,Sunny Singh,Hritu,Gavie Chahal
O Teri,2014,107,"Comedy, Drama",3.3,584,Umesh Bist,Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias
One by Two,2014,139,"Comedy, Drama, Romance",4.2,722,Devika Bhagat,Abhay Deol,Preeti Desai,Lillete Dubey
Oraalppokkam,2014,99,"Drama, Fantasy, Mystery",7,108,Sanal Kumar Sasidharan,Prakash Bare,Meena Kandasamy,Samvid Anand
Pagdi: The Honour,2014,98,"Drama, Family",5.8,31,Rajeev Bhatia,Ravi Chauhan,Yashpal Sharma,Nidhi Mahila
Paranthe Wali Gali,2014,101,"Drama, Romance",5,87,Sachin Gupta,Mohinder Gujral,Yuvraj Haral,Vijayant Kohli
Patiala Dreamz,2014,120,Drama,4,8,Abhishek Saxena,Sarvar Ahuja,Usha Bachani,Amita Nangia
Pizza,2014,107,Horror,6.2,1147,Akshay Akkineni,Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh
PK,2014,153,"Comedy, Drama, Musical",8.1,168150,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt
Purani Jeans,2014,137,"Drama, Romance",6.3,762,Tanushri Chattrji Bassu,Tanuj Virwani,Izabelle Leite,Aditya Seal
Pyaar Vali Love Story,2014,133,Drama,5.9,59,Sanjay Jadhav,Sameer Dharmadhikari,Swapnil Joshi,Namrata Kadam
Ragini MMS 2,2014,119,Horror,3.8,2740,Bhushan Patel,Sunny Leone,Saahil Prem,Parvin Dabas
Raja Natwarlal,2014,141,"Crime, Thriller",6.1,4038,Kunal Deshmukh,Emraan Hashmi,Humaima Malik,Paresh Rawal
Revolver Rani,2014,132,"Action, Comedy, Crime",4.5,1678,Sai Kabir,Kangana Ranaut,Vir Das,Zakir Hussain
Ritu,2014,129,"Drama, Romance",6.8,25,Manoj Adhikari,Raj Ballav Koirala,Malina Joshi,Reema Bishwokarma
Riyasat,2014,80,Crime,6.4,44,Ashok Tyagi,Rajesh Khanna,Aryeman Ramsay,Raza Murad
Roar: Tigers of the Sundarbans,2014,123,"Action, Adventure, Sci-Fi",5.6,702,Kamal Sadanah,Aadil Chahal,Ahran Chaudhary,Pranay Dixit
Samrat & Co.,2014,125,"Mystery, Thriller",6.2,1227,Kaushik Ghatak,Rajeev Khandelwal,Madalsa Sharma,Gopal Datt
Shaadi Ke Side Effects,2014,145,"Comedy, Romance",5.6,3882,Saket Chaudhary,Farhan Akhtar,Vidya Balan,Vir Das
Shuruaat Ka Interval,2014,99,Drama,7.2,68,Aarti S. Bagdi,Amrit Raj Gupta,Krishan Hooda,Shishir Jha
Singham Returns,2014,142,"Action, Crime, Drama",5.7,7675,Rohit Shetty,Ajay Devgn,Kareena Kapoor,Amole Gupte
Sold,2014,94,Drama,6.9,1589,Jeffrey D. Brown,Gillian Anderson,David Arquette,Priyanka Bose
Sonali Cable,2014,127,"Comedy, Drama",5.3,980,Charudutt Acharya,Rhea Chakraborty,Ali Fazal,Raghav Juyal
Spark,2014,134,Action,5.9,31,V.K. Singh,Rati Agnihotri,Mansha Bahl,Rajniesh Duggall
Station,2014,120,"Crime, Drama, Thriller",7.5,90,Saad Khan,Kanika Batra,Gulshan Grover,Rohiet Nair
Strings of Passion,2014,100,Drama,6.5,31,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Shubh Mukherjee
Sulemani Keeda,2014,89,"Comedy, Romance",7.1,2478,Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev
Supari - The Quest Begins Now,2014,90,Crime,5.9,33,Aamreeta Gautam,Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya
Super Nani,2014,133,"Comedy, Drama, Family",4.6,398,Indra Kumar,Rekha,Sharman Joshi,Randhir Kapoor
Surkhaab,2014,100,"Adventure, Drama, Thriller",6.3,68,Sanjay Talreja,Barkha Madan,Sumit Suri,Vineeta Malik
Tamanchey: Pyar Mein Dil Pe Maar De Goli,2014,113,"Crime, Romance",4.4,308,Navneet Behal,Nikhil Dwivedi,Richa Chadha,Damandeep Singh
Teri Dilli Meri Dili,2014,73,Drama,7,10,Sandeep Kumar Chandola,Pushpraj Gunjan,Madhulika Jatolia,Ridhi Jugran
The Arms Drop,2014,94,"Documentary, Biography, Drama",6.8,139,Andreas Koefoed,Musta Ali,Mikhail Belinson,Sami Darr
The Dirty MMS,2014,93,Drama,2.4,18,Sudhir Pillai,Rakesh,Sudhir,Gunj
The Goa Run,2014,112,"Action, Crime, Romance",7.1,58,John Owen,Rajeev Khandelwal,Prashant Narayanan,Lekha Washington
The Hero of Color City,2014,77,"Animation, Adventure, Family",4.1,528,Frank Gladstone,Owen Wilson,Christina Ricci,Rosie Perez
The Hundred-Foot Journey,2014,122,"Comedy, Drama",7.3,78340,Lasse Hallstr�m,Helen Mirren,Om Puri,Manish Dayal
The Lastbenchers,2014,147,"Biography, Comedy, Drama",7.3,29,Prajact Rebeloma,Prajakt Rebeloma,Pooja Bhattad,Shriya Fule
The Lost Salesman of Delhi,2014,97,"Adventure, Drama, Mystery",7.9,39,Deepak Mahajan,Manoj Bakshi,Radha Bhatt,Preet Bhatti
The Royal Bengal Tiger,2014,110,Thriller,6.9,793,Rajesh Ganguly,Jeet,Abir Chatterjee,Priyanka Sarkar
The Shaukeens,2014,124,Comedy,4.9,2906,Abhishek Sharma,Akshay Kumar,Lisa Haydon,Anupam Kher
The Villain,2014,129,"Action, Crime, Drama",6.5,17169,Mohit Suri,Sidharth Malhotra,Shraddha Kapoor,Riteish Deshmukh
The Xpose,2014,113,"Mystery, Thriller",3.3,1608,Ananth Narayan Mahadevan,Himesh Reshammiya,Yo Yo Honey Singh,Irrfan Khan
Tigers,2014,94,Drama,7.3,1553,Danis Tanovic,Emraan Hashmi,Geetanjali Thapa,Danny Huston
Titli,2014,116,"Action, Crime, Drama",7.6,4483,Kanu Behl,Shashank Arora,Ranvir Shorey,Shivani Raghuvanshi
Titoo MBA,2014,111,"Comedy, Romance",4.3,100,Amit Singh,Vats Amit,Nishant Dahiya,Pragya Jaiswal
Total Siyapaa,2014,108,"Comedy, Drama, Romance",5,2881,Eeshwar Nivas,Ali Zafar,Yami Gautam,Anupam Kher
Trip to Bhangarh: Asia's Most Haunted Place,2014,113,"Horror, Thriller",2.4,266,Jitendra Pawar,Manish Chaudhary,Suzanna Mukherjee,Piyush Raina
Umformung: The Transformation,2014,126,"Drama, Family",5.5,10,Sudeep Ranjan Sarkar,Sanjay Bhatia,Sushil Bhosale,Parijaat Chakraborty
Unfreedom,2014,102,"Crime, Drama, Romance",5.1,1885,Raj Amit Kumar,Victor Banerjee,Adil Hussain,Bhanu Uday
Ungli,2014,114,"Crime, Drama, Thriller",5.7,3663,Renzil D'Silva,Randeep Hooda,Emraan Hashmi,Shraddha Kapoor
W,2014,137,"Crime, Musical, Thriller",6.6,47,Tarun Madan Chopra,Leeza Mangaldas,Lezlie Tripathy,Sonal Giani
Ya Rab,2014,120,"Action, Crime, Drama",5.9,278,Hasnain Hyderabadwala,Indrapal Ahuja,Neha Baam,Vikram Dahiya
Yaan,2014,153,"Action, Thriller",3.5,341,Ravi K. Chandran,Jiiva,Thulasi Nair,Nassar
Yaariyan,2014,145,"Drama, Romance",2.7,3187,Divya Khosla Kumar,Himansh Kohli,Rakul Preet Singh,Nicole Faria
Yamdas,2014,77,Drama,6.7,15,Justin John,Priya Gamre,Swati Kaushik,Sejal Khanna
Yeh Dil Ramta Jogi,2014,98,"Action, Crime, Drama",6.4,10,Swaroop Kanchi,Swaroop Kanchi,Cajole Kapoor,Anil Kumar
Yeh Hai Bakrapur,2014,95,"Comedy, Drama",3.6,233,Janaki Vishwanathan,Anshuman Jha,Suruchi Aulakh,Asif Basra
Youngistaan,2014,133,"Drama, Romance",5.1,1843,Syed Ahmad Afzal,Jackky Bhagnani,Neha Sharma,Farooq Shaikh
Zed Plus,2014,141,Comedy,6.4,449,Chandra Prakash Dwivedi,Vinod Acharya,Rajeev Ankit,Adil Hussain
Zid,2014,126,"Crime, Romance, Thriller",4.4,1105,Vivek Agnihotri,Mannara Chopra,Karanvir Sharma,Shraddha Das
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
31st October,2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
Ab Tak Chhappan 2,2015,106,"Action, Crime, Thriller",5.8,1344,Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
Aisa Yeh Jahaan,2015,120,Drama,6.6,52,Biswajeet Bora,Yashpal Sharma,Ira Dubey,Tinnu Anand
Aligarh,2015,114,"Biography, Drama",7.8,6402,Hansal Mehta,Manoj Bajpayee,Rajkummar Rao,Ashish Vidyarthi
All Is Well,2015,126,"Comedy, Drama, Romance",3.8,1513,Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
Alone,2015,133,Horror,3.7,1622,Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
Angry Indian Goddesses,2015,121,"Comedy, Drama",7,2749,Pan Nalin,Sarah Jane Dias,Rajshri Deshpande,Sandhya Mridul
Any Body Can Dance 2,2015,154,"Biography, Drama, Music",5.4,5733,Remo D'Souza,Prabhu Deva,Varun Dhawan,Shraddha Kapoor
Baankey Ki Crazy Baraat,2015,138,Comedy,6.2,356,Aijaz Khan,Rajpal Yadav,Tia Bajpai,Rakesh Bedi
Baby,2015,159,"Action, Thriller",8,53997,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
Badlapur,2015,134,"Action, Crime, Drama",7.4,22324,Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
Badmashiyaan,2015,128,"Comedy, Romance",4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra
Bajirao Mastani,2015,158,"Action, Drama, History",7.2,32073,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy",8,78448,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
Bal Ganesh 3,2015,68,Animation,4.2,13,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
Bangistan,2015,135,"Comedy, Drama",4.5,1168,Karan Anshuman,Jacqueline Fernandez,Michalina Olszanska,Riteish Deshmukh
Barefoot to Goa,2015,80,"Adventure, Drama, Family",5.6,149,Praveen Morchhale,Sonu Chourasia,Ajay Chourey,Farrukh Jaffar
Barkhaa,2015,127,"Drama, Romance",5.1,315,Shadaab Mirza,Sara Loren,Priyanshu Chatterjee,Muntazir Ahmad
Beyond Blue: An Unnerving Tale of a Demented Mind,2015,99,"Crime, Fantasy, Mystery",6.7,7,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi
Bezubaan Ishq,2015,128,"Musical, Romance",4,68,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani
Bhaag Johnny,2015,118,"Action, Fantasy, Thriller",5.2,963,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi
Black Home,2015,105,"Drama, Thriller",7.4,23,Ashish Deo,Ashutosh Rana,Chitrashi Rawat,Murli Sharma
Bombay Velvet,2015,149,"Action, Crime, Drama",5.6,5685,Anurag Kashyap,Ranbir Kapoor,Anushka Sharma,Karan Johar
Breaking Free,2015,82,"Documentary, Crime, History",6.3,33,Sridhar Rangayan,Vivek Anand,Manohar Elavarthi,Anand Grover
Brothers,2015,156,"Action, Drama, Sport",6.5,12018,Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff
Bumper Draw,2015,130,Comedy,4.8,41,Irshad Khan,Rajpal Yadav,Omkar Das Manikpuri,Subrat Dutta
Calendar Girls,2015,131,Drama,4.2,862,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt
Cecilia,2015,83,Documentary,7.9,31,Pankaj Johar,Cecilia,Pankaj Johar,Rishi Kant
Chal Guru Ho Jaa Shuru,2015,127,Comedy,4.9,45,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala
Charlie Kay Chakkar Mein,2015,102,Thriller,4.5,159,Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora
Chehere: A Modern Day Classic,2015,106,Thriller,5.8,22,Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff
Chinar Daastaan-E-Ishq,2015,116,Romance,6.8,62,Sharique Minhaj,Parveen Kaur,Faisal Khan,Shahbaaz Khan
Chor Bazaari,2015,107,Comedy,4.7,22,Rajiv S. Ruia,Asrani,Kurush Deboo,Manoj Joshi
Cinderella,2015,113,Fantasy,6.7,9,Kiran Nakti,Mangesh Desai,Vinit Bonde,Janardhan Parab
Coffee Bloom,2015,90,Drama,5.9,101,Manu Warrier,Arjun Mathur,Sugandha Garg,Ishwari Bose-Bhattacharya
Dagadi Chaawl,2015,120,"Action, Crime, Drama",6.2,180,Chandrakant Kanse,Ankush Chaudhari,Makrand Deshpande,Pooja Sawant
Detective Byomkesh Bakshy!,2015,139,"Action, Crime, Drama",7.7,21107,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
Dharam Sankat Mein,2015,129,Comedy,6.3,2118,Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor
Dil Dhadakne Do,2015,170,"Comedy, Drama, Romance",6.9,15722,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas
Dilliwaali Zaalim Girlfriend,2015,121,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu
Dilwale,2015,158,"Action, Comedy, Drama",5.1,32366,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Dirty Politics,2015,130,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
Do Chehre,2015,120,Action,5.3,20,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan
Dolly Ki Doli,2015,98,"Comedy, Romance",4.5,2880,Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub
Dozakh in Search of Heaven,2015,92,Drama,7,62,Zaigham Imam,Garrick Chaudhary,Roobie,Lalit Mohan Tiwari
Drishyam,2015,163,"Crime, Drama, Mystery",8.2,74326,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
Dulaara,2015,160,Drama,5.2,13,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh
Dum Laga Ke Haisha,2015,110,"Comedy, Drama, Romance",7.5,18540,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Dunno Y 2... Life Is a Moment,2015,95,"Drama, Romance",6.3,33,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma
